HYDROGENOPHILUS GROUP	Hydrogenophilales
MARSILEALES	Hydropteridales
SALVINIALES	Hydropteridales
HYMENOSTOMATA	Hymenostomatida
HYMENOSTOMES	Hymenostomatida
HYMENOSTOMINI	Hymenostomatida
HYPNOBRYALES	Hypnales
ISOBRYALES	Hypnales
LEUCODONTALES	Hypnales
NECKERALES	Hypnales
HYPNODENDRALES	Hypnodendrales
CLAVICIPITALES	Hypocreales
HYPOTRICHOMONADIDA	Hypotrichomonadida
IGNAVIBACTERIALES	Ignavibacteriales
SORICOMORPHA	Insectivora
ISCHNACANTHIDA	Ischnacanthiformes
APODA	Isopoda
JUNGERMANNIALES	Jungermanniales
KILONIELLALES	Kiloniellales
PROTOMONADIDA	Kinetoplastida
KOPRIIMONADALES	Kopriimonadales
KORALIONASTETALES	Koralionastetales
KORDIIMONADALES	Kordiimonadales
KTEDOBACTERALES	Ktedonobacterales
KTEDONOBACTERALES CORRIG	Ktedonobacterales
LABYRINTHOMORPHA	Labyrinthulida
LABYRINTHOMORPHIDS	Labyrinthulida
LABYRINTHULOMORPHA	Labyrinthulida
LABYRINTHULOMYCOTA	Labyrinthulida
LACTOBACILLALES	Lactobacillales
LAGENIDALES	Lagenidiales
LAGOMORPHA	Lagomorpha
SCROPHULARIALES	Lamiales
ISURIDA	Lamniformes
LAMNOIDEI	Lamniformes
LAMPRIFORMES	Lampridiformes
LAMPROIDEI	Lampridiformes
STYLEPHOROIDEI	Lampridiformes
TRACHIPTEROIDEI	Lampridiformes
VELIFEROIDEI	Lampridiformes
LAMPRIDIFORMES	Lampriformes
LAURINEAE	Laurales
ALLOEOCOELA	Lecithoepitheliata
ALLOIOCOELA	Lecithoepitheliata
LEGIONELLACEAE GROUP	Legionellales
LEGIONELLALES	Legionellales
LEIOSPOROCEROTALES	Leiosporocerotales
LENTISPHAERAE SUBGROUP	Lentisphaerales
LENTISPHAERALES	Lentisphaerales
FRENATAE	Lepidoptera
JUGATAE	Lepidoptera
MACROLEPIDOPTERA	Lepidoptera
MICROLEPIDOPTERA	Lepidoptera
